X_values,Y_values
0.88977957,0.054538008
0.8917836,0.060652304
0.89378756,0.06662046
0.8957916,0.07243439
0.89779556,0.07808602
0.8997996,0.08356761
0.9018036,0.08887201
0.90380764,0.09399161
0.9058116,0.09891998
0.90781564,0.10365076
0.90981966,0.108178176
0.91182363,0.11249594
0.91382766,0.116599694
0.9158317,0.12048393
0.91783565,0.12414443
0.9198397,0.12757708
0.9218437,0.13077842
0.9238477,0.1337448
0.9258517,0.13647355
0.92785573,0.13896216
0.9298597,0.14120863
0.9318637,0.14321136
0.93386775,0.14496887
0.9358717,0.14648046
0.93787575,0.14774564
0.9398798,0.1487644
0.94188374,0.14953703
0.94388777,0.1500642
0.9458918,0.1503471
0.94789577,0.15038726
0.9498998,0.15018651
0.9519038,0.14974707
0.9539078,0.1490716
0.9559118,0.14816305
0.95791584,0.14702468
0.9599198,0.14566027
0.96192384,0.14407364
0.96392787,0.14226922
0.9659319,0.14025155
0.96793586,0.13802578
0.9699399,0.1355968
0.9719439,0.13297038
0.9739479,0.13015221
0.9759519,0.12714833
0.97795594,0.123964876
0.9799599,0.12060868
0.98196393,0.11708632
0.98396796,0.1134046
0.9859719,0.1095712
0.98797596,0.105592765
0.98998,0.10147735
0.99198395,0.09723245
0.993988,0.09286589
0.995992,0.08838542
0.997996,0.08379954
1.0,0.0791162
